participant_id,group,E0,E_week24,E_week52,lambda_est,gamma_initial,gamma_week52,gamma_slope_per_week,K_est,circular_behavior_week24,circular_behavior_week52,replaced_by_week52
S3_00030,High_E_LT,0.695,0.6866,0.7298,0.0333,0.0435,0.1,0.024586,0.3685,1,1,0
S3_00031,High_E_LT,0.7403,0.7955,0.7446,0.0306,0.05,0.1,0.016657,0.3177,1,1,0
S3_00032,Control_LT,0.4063,0.0769,0.0697,0.0631,0.0025,0.0,-0.019496,0.4508,0,1,1
S3_00033,High_E_LT,0.788,0.639,0.6208,0.0448,0.0628,0.1,0.026883,0.3549,1,1,0
S3_00034,Control_LT,0.5071,0.0968,0.0337,0.0951,0.0,0.09848,0.001894,0.5212,0,0,0
S3_00035,High_E_LT,0.6285,0.809,0.8516,0.019,0.0341,0.1,0.034046,0.2792,1,1,0
S3_00036,High_E_LT,0.586,0.208,0.0845,0.0547,0.0612,0.0,-0.023549,0.238,0,0,0
S3_00037,High_E_LT,0.8527,0.3271,0.1759,0.0373,0.0394,0.0,-0.011879,0.2383,0,1,0
S3_00038,Control_LT,0.7352,0.1627,0.01,0.0678,0.0042,0.0,-0.001849,0.311,0,1,1
S3_00039,Control_LT,0.5785,0.0448,0.01,0.0955,0.0035,0.0,-0.032708,0.3668,0,0,0
S3_00040,High_E_LT,0.6293,0.2512,0.1291,0.041,0.0414,0.0,-0.016125,0.2661,0,0,0
S3_00041,Control_LT,0.3164,0.0646,0.0133,0.0772,0.004,0.0,-0.00301,0.4288,0,0,0
S3_00042,Control_LT,0.4151,0.0787,0.1137,0.0855,0.0024,0.05342,0.00098,0.2554,0,0,0
S3_00043,High_E_LT,0.6824,0.6523,0.6745,0.0465,0.0381,0.1,0.031574,0.3281,1,1,0
S3_00044,High_E_LT,0.7384,0.386,0.1493,0.0229,0.0348,0.0,-0.042908,0.3,1,0,0
S3_00045,High_E_LT,0.703,0.297,0.01,0.0383,0.0343,0.0,-0.021528,0.3088,0,0,0
S3_00046,Control_LT,0.3754,0.1134,0.041,0.0517,0.0006,0.0,-0.009145,0.2882,0,0,0
S3_00047,Control_LT,0.6233,0.4738,0.4954,0.0694,0.0047,0.1,0.017018,0.2815,0,1,0
S3_00048,Control_LT,0.4732,0.059,0.033,0.0782,0.0032,0.0,-0.024338,0.3633,0,0,0
S3_00049,Control_LT,0.4957,0.1842,0.0491,0.0644,0.0037,0.0,-0.02233,0.4124,0,1,0
S3_00050,Control_LT,0.4467,0.0248,0.0139,0.0903,0.0061,0.0,-0.010384,0.3186,0,0,0
S3_00051,High_E_LT,0.7352,0.1888,0.0283,0.0581,0.0414,0.0,-0.019129,0.4609,0,0,1
S3_00052,High_E_LT,0.7687,0.1936,0.0358,0.0576,0.0582,0.0,-0.023849,0.2693,0,0,0
S3_00053,Control_LT,0.6449,0.3816,0.3884,0.1111,0.0,0.1,0.006322,0.2483,0,0,0
S3_00054,High_E_LT,0.7604,0.3824,0.1388,0.0227,0.0428,0.0,-0.005674,0.3347,0,0,0
S3_00055,Control_LT,0.5014,0.1162,0.0349,0.0868,0.001,0.0,-0.005349,0.3447,0,0,0
S3_00056,High_E_LT,0.8579,0.4912,0.5574,0.0515,0.0476,0.1,0.001446,0.4297,0,1,0
S3_00057,High_E_LT,0.7353,0.2311,0.1095,0.0524,0.0279,0.0,-0.001111,0.3311,0,0,1
S3_00058,High_E_LT,0.8219,0.6694,0.605,0.0461,0.0535,0.1,0.028171,0.381,1,1,0
S3_00059,High_E_LT,0.909,0.7583,0.7621,0.0304,0.0386,0.1,0.025493,0.2224,1,1,0
S3_00060,Control_LT,0.4442,0.4226,0.3951,0.1088,0.004,0.1,0.028237,0.2556,0,0,0
S3_00061,High_E_LT,0.8116,0.2286,0.039,0.045,0.0402,0.0,-0.035247,0.3693,0,0,0
S3_00062,Control_LT,0.6136,0.068,0.01,0.083,0.0,0.0,-0.012599,0.233,0,0,0
S3_00063,Control_LT,0.3961,0.417,0.4971,0.0801,0.012,0.1,0.004477,0.2742,1,1,0
S3_00064,High_E_LT,0.7388,0.6332,0.6414,0.0503,0.0476,0.1,0.015719,0.2767,0,1,0
S3_00065,High_E_LT,0.6909,0.1518,0.01,0.0538,0.0431,0.0,-0.017924,0.6003,1,0,0
S3_00066,High_E_LT,0.7205,0.2846,0.0447,0.0413,0.0191,0.0,-0.01459,0.4259,0,0,0
S3_00067,Control_LT,0.5233,0.3155,0.2471,0.1142,0.0009,0.1,0.019896,0.3174,0,0,0
S3_00068,Control_LT,0.596,0.3447,0.2308,0.0839,0.0054,0.1,0.014108,0.434,0,0,0
S3_00069,Control_LT,0.403,0.0162,0.0522,0.0931,0.0,0.0,-0.008767,0.3977,0,0,0
S3_00070,Control_LT,0.4288,0.0719,0.0284,0.0854,0.0054,0.0,-0.012073,0.4692,0,0,0
S3_00071,Control_LT,0.6151,0.1099,0.028,0.0971,0.0113,0.0,-0.009311,0.3566,0,0,1
S3_00072,High_E_LT,0.9533,0.8121,0.7721,0.023,0.0617,0.1,0.018702,0.3921,1,1,0
S3_00073,High_E_LT,0.7906,0.2684,0.0572,0.0427,0.0357,0.0,-0.063139,0.4392,0,0,0
S3_00074,Control_LT,0.64,0.1019,0.0109,0.0713,0.0111,0.0,-0.013365,0.4184,0,0,0
S3_00075,High_E_LT,0.6145,0.7827,0.8595,0.0219,0.0404,0.1,0.026719,0.2897,1,1,0
S3_00076,High_E_LT,0.5904,0.6993,0.7783,0.0328,0.0425,0.1,0.03006,0.2511,1,1,0
S3_00077,High_E_LT,0.7417,0.6622,0.6346,0.0398,0.03,0.1,0.011483,0.2663,1,1,0
S3_00078,Control_LT,0.255,0.0773,0.01,0.056,0.0107,0.0,-0.011932,0.334,0,0,1
S3_00079,Control_LT,0.3225,0.4456,0.435,0.0906,0.0104,0.1,0.013005,0.2873,1,0,0
S3_00080,High_E_LT,0.99,0.6634,0.565,0.0594,0.0192,0.1,0.01165,0.1962,1,1,0
S3_00081,High_E_LT,0.8409,0.6662,0.6448,0.043,0.0575,0.1,0.068594,0.2734,1,1,0
S3_00082,Control_LT,0.4414,0.2057,0.1959,0.0548,0.006,0.05343,0.000912,0.35,0,0,0
S3_00083,High_E_LT,0.7901,0.2372,0.1124,0.0391,0.036,0.0,-0.003345,0.3619,0,0,0
S3_00084,Control_LT,0.3386,0.4024,0.416,0.0993,0.0033,0.1,0.036924,0.2789,1,1,0
S3_00085,High_E_LT,0.6697,0.1955,0.0393,0.0488,0.0451,0.0,-0.0392,0.3399,0,1,0
S3_00086,Control_LT,0.3573,0.0595,0.01,0.0971,0.0044,0.05017,0.000881,0.2825,0,0,0
S3_00087,Control_LT,0.5259,0.2252,0.3995,0.0938,0.01,0.1,0.002532,0.2526,0,0,0
S3_00088,Control_LT,0.5795,0.4932,0.5072,0.0827,0.0107,0.1,0.01452,0.215,0,0,0
S3_00089,Control_LT,0.4071,0.4277,0.4794,0.0776,0.0,0.1,0.011947,0.2864,0,0,0
S3_00090,High_E_LT,0.8521,0.6803,0.6433,0.0404,0.0411,0.1,0.013109,0.4376,1,1,0
S3_00091,High_E_LT,0.8369,0.4964,0.2116,0.0298,0.0551,0.0,-0.036118,0.4485,0,0,0
S3_00092,Control_LT,0.3177,0.4614,0.5309,0.0798,0.0093,0.1,0.014756,0.2706,0,1,0
S3_00093,High_E_LT,0.825,0.367,0.1385,0.0312,0.0258,0.0,-0.004433,0.3303,1,1,0
S3_00094,High_E_LT,0.8434,0.5787,0.5989,0.0421,0.0631,0.1,0.002182,0.371,1,1,0
S3_00095,Control_LT,0.2626,0.0796,0.0182,0.0743,0.0107,0.0,-0.005742,0.3596,0,0,0
S3_00096,High_E_LT,0.9331,0.3836,0.1591,0.0398,0.0194,0.0,-0.019401,0.2348,0,1,0
S3_00097,High_E_LT,0.99,0.2759,0.0268,0.0481,0.0249,0.0,-0.002863,0.3155,0,0,0
S3_00098,Control_LT,0.4734,0.0615,0.0247,0.0849,0.0055,0.0,-0.025983,0.3343,0,0,0
S3_00099,Control_LT,0.7276,0.1235,0.0226,0.0688,0.0075,0.0,-0.010309,0.3005,0,0,0
S3_00100,High_E_LT,0.8541,0.3435,0.0845,0.0371,0.0368,0.0,-0.011713,0.3608,0,0,0
S3_00101,Control_LT,0.5152,0.0462,0.0235,0.0903,0.0146,0.0,-0.020235,0.386,0,0,0
S3_00102,High_E_LT,0.6469,0.6727,0.6972,0.0282,0.0356,0.1,0.00609,0.4245,1,1,0
S3_00103,Control_LT,0.302,0.4912,0.5108,0.0725,0.0047,0.1,0.020376,0.2851,1,0,0
S3_00104,High_E_LT,0.8371,0.1154,0.0307,0.0614,0.0586,0.0,-0.024049,0.3747,0,1,0
S3_00105,High_E_LT,0.6285,0.7052,0.7409,0.038,0.0399,0.1,0.013536,0.2648,0,1,0
S3_00106,High_E_LT,0.8951,0.4024,0.1439,0.0384,0.048,0.0,-0.009565,0.2552,1,0,0
S3_00107,High_E_LT,0.6696,0.3036,0.0758,0.0565,0.0452,0.0,-0.001051,0.29,0,0,0
S3_00108,Control_LT,0.5465,0.2414,0.0901,0.0627,0.0096,0.04642,0.000708,0.3187,0,0,0
S3_00109,High_E_LT,0.601,0.7077,0.7753,0.0284,0.0338,0.1,0.024322,0.3211,1,1,0
S3_00110,High_E_LT,0.7526,0.3686,0.2077,0.031,0.054,0.0,-0.02816,0.4158,1,1,0
S3_00111,High_E_LT,0.5386,0.6121,0.6618,0.0301,0.0485,0.1,0.008136,0.4579,1,1,0
S3_00112,High_E_LT,0.9394,0.6926,0.7182,0.0341,0.064,0.1,0.04042,0.3752,1,1,0
S3_00113,High_E_LT,0.8237,0.3842,0.1355,0.0329,0.0395,0.0,-0.014212,0.3618,1,1,0
S3_00114,High_E_LT,0.6022,0.1707,0.01,0.0428,0.0526,0.0,-0.043967,0.2922,0,0,0
S3_00115,Control_LT,0.4285,0.1104,0.0101,0.076,0.0052,0.1,0.005005,0.4456,0,0,0
S3_00116,High_E_LT,0.8439,0.3325,0.0694,0.0379,0.0345,0.0,-0.052818,0.3095,0,0,0
S3_00117,High_E_LT,0.6919,0.1537,0.0467,0.0433,0.0488,0.0,-0.037151,0.2769,1,0,0
S3_00118,High_E_LT,0.6993,0.4106,0.1356,0.0297,0.0365,0.0,-0.006254,0.1847,1,0,0
S3_00119,High_E_LT,0.8308,0.4509,0.261,0.0268,0.0259,0.0,-0.00849,0.3547,1,0,0
S3_00120,High_E_LT,0.7282,0.7474,0.786,0.0228,0.0361,0.1,0.017749,0.4122,1,1,0
S3_00121,Control_LT,0.5596,0.0815,0.0318,0.097,0.011,0.0,-0.014721,0.3107,0,0,0
S3_00122,High_E_LT,0.7671,0.5915,0.5953,0.0629,0.035,0.1,0.052189,0.2405,1,1,0
S3_00123,High_E_LT,0.713,0.6803,0.6651,0.0332,0.0486,0.1,0.061239,0.4394,1,1,0
S3_00124,High_E_LT,0.7397,0.2865,0.0838,0.0388,0.0448,0.0,-0.028763,0.3678,1,0,0
S3_00125,High_E_LT,0.8111,0.4505,0.1816,0.025,0.0354,0.0,-0.036205,0.1663,1,1,0
S3_00126,Control_LT,0.6408,0.0934,0.0334,0.0835,0.0,0.0,-0.003934,0.3719,0,0,0
S3_00127,High_E_LT,0.8541,0.7296,0.6572,0.0403,0.0525,0.1,0.005457,0.3898,1,1,0
S3_00128,Control_LT,0.5535,0.0304,0.01,0.1279,0.0022,0.0,-0.007436,0.5325,0,0,0
S3_00129,High_E_LT,0.5403,0.6759,0.7032,0.0361,0.034,0.1,0.003612,0.2898,1,1,0
S3_00130,Control_LT,0.799,0.0436,0.0335,0.1129,0.0073,0.0,-0.021467,0.4534,0,0,0
S3_00131,High_E_LT,0.7749,0.181,0.0607,0.058,0.0514,0.0,-0.035592,0.4361,0,0,0
S3_00132,High_E_LT,0.7989,0.6831,0.6375,0.0436,0.0569,0.1,0.019191,0.3193,1,1,0
S3_00133,Control_LT,0.5266,0.0808,0.01,0.0927,0.0087,0.0,-0.015935,0.3369,0,0,1
S3_00134,Control_LT,0.4192,0.0519,0.0229,0.0788,0.0008,0.0,-0.010424,0.3766,0,0,1
S3_00135,High_E_LT,0.7873,0.3252,0.0341,0.0304,0.033,0.0,-0.007763,0.4187,0,0,0
S3_00136,High_E_LT,0.8235,0.4841,0.3097,0.0197,0.032,0.0,-0.031681,0.3628,0,1,0
S3_00137,High_E_LT,0.6736,0.8601,0.8572,0.0176,0.0422,0.1,0.006892,0.2632,1,1,0
S3_00138,Control_LT,0.546,0.425,0.4219,0.089,0.0,0.1,0.01912,0.3095,0,0,0
S3_00139,Control_LT,0.6238,0.6227,0.6274,0.0593,0.0027,0.1,0.019309,0.2048,0,1,0
S3_00140,High_E_LT,0.7615,0.2548,0.1217,0.0433,0.0385,0.0,-0.023982,0.3475,0,0,0
S3_00141,High_E_LT,0.5853,0.2398,0.0142,0.038,0.0486,0.0,-0.012599,0.248,1,1,1
S3_00142,High_E_LT,0.7424,0.2263,0.0815,0.0478,0.0295,0.0,-0.018675,0.4086,0,0,0
S3_00143,High_E_LT,0.8427,0.2965,0.0605,0.0437,0.0475,0.0,-0.028231,0.347,1,0,0
S3_00144,High_E_LT,0.7993,0.6967,0.7452,0.0358,0.0633,0.1,0.028047,0.4274,1,1,0
S3_00145,Control_LT,0.2783,0.1672,0.1116,0.1012,0.0027,0.1,0.022027,0.3319,0,0,0
S3_00146,Control_LT,0.3475,0.4414,0.4322,0.0829,0.0061,0.1,0.03683,0.3091,0,0,0
S3_00147,High_E_LT,0.6399,0.2307,0.0737,0.0417,0.0366,0.0,-0.022911,0.4041,1,0,0
S3_00148,Control_LT,0.4299,0.2242,0.1037,0.038,0.009,0.0,-0.010847,0.2935,1,1,0
S3_00149,Control_LT,0.4599,0.5137,0.5293,0.0624,0.0092,0.1,0.027418,0.382,1,1,0
S3_00150,Control_LT,0.6294,0.1514,0.01,0.0841,0.007,0.0,-0.027383,0.4428,0,0,0
S3_00151,Control_LT,0.6048,0.0275,0.01,0.1058,0.0086,0.0,-0.000663,0.4248,0,0,0
S3_00152,High_E_LT,0.6814,0.3228,0.1921,0.0343,0.0378,0.0,-0.014022,0.2948,0,1,0
S3_00153,Control_LT,0.6981,0.166,0.0275,0.0632,0.0069,0.0,-0.001435,0.3348,0,0,0
S3_00154,High_E_LT,0.6616,0.5791,0.5763,0.0524,0.0287,0.1,0.010351,0.3629,1,1,0
S3_00155,High_E_LT,0.6847,0.6067,0.5568,0.0496,0.037,0.1,0.023457,0.419,1,1,0
S3_00156,High_E_LT,0.6822,0.6099,0.5941,0.0553,0.0512,0.1,0.003986,0.294,1,0,0
S3_00157,High_E_LT,0.6994,0.2123,0.0424,0.0537,0.0303,0.0,-0.019693,0.194,0,0,0
S3_00158,Control_LT,0.4554,0.1456,0.0539,0.0683,0.0,0.1,0.006987,0.5273,0,0,0
S3_00159,High_E_LT,0.7445,0.6691,0.6525,0.0455,0.0405,0.1,0.047265,0.27,1,1,0
S3_00160,High_E_LT,0.6629,0.5853,0.5381,0.0631,0.0341,0.1,0.021015,0.1783,1,0,0
S3_00161,Control_LT,0.4423,0.0516,0.032,0.0971,0.0092,0.0,-0.030442,0.3706,0,0,1
S3_00162,High_E_LT,0.6498,0.258,0.0911,0.0392,0.0444,0.0,-0.011136,0.5233,0,0,0
S3_00163,Control_LT,0.6731,0.3664,0.3108,0.0909,0.0097,0.1,0.011181,0.4343,0,1,0
S3_00164,High_E_LT,0.6281,0.1859,0.0349,0.0547,0.0422,0.0,-0.047023,0.4404,0,0,0
S3_00165,Control_LT,0.4548,0.0403,0.0292,0.0651,0.0,0.0,-0.007313,0.3574,1,0,0
S3_00166,High_E_LT,0.7199,0.2753,0.0787,0.0353,0.0582,0.0,-0.005873,0.44,0,0,0
S3_00167,High_E_LT,0.8053,0.3749,0.1508,0.03,0.0443,0.0,-0.009646,0.4415,1,1,0
S3_00168,Control_LT,0.5127,0.4964,0.4418,0.0869,0.0006,0.1,0.046304,0.2426,1,1,0
S3_00169,High_E_LT,0.7942,0.415,0.2412,0.0272,0.0497,0.0,-0.031606,0.3357,0,1,0
S3_00170,High_E_LT,0.772,0.6798,0.6988,0.0412,0.0312,0.1,0.024497,0.2772,1,0,0
S3_00171,High_E_LT,0.6354,0.7102,0.7498,0.0335,0.0392,0.1,0.016951,0.1464,1,1,0
S3_00172,Control_LT,0.7843,0.4044,0.3635,0.0971,0.0039,0.1,0.007707,0.2835,1,0,0
S3_00173,High_E_LT,0.7742,0.7027,0.7647,0.0239,0.0531,0.1,0.022185,0.5058,1,1,0
S3_00174,High_E_LT,0.7876,0.783,0.7682,0.0259,0.0425,0.1,0.00897,0.3903,1,1,0
S3_00175,High_E_LT,0.7666,0.6309,0.5267,0.0373,0.0332,0.1,0.013534,0.6103,0,1,0
S3_00176,Control_LT,0.4116,0.2556,0.142,0.1049,0.0,0.1,0.015212,0.3709,0,0,0
S3_00177,Control_LT,0.6251,0.4576,0.4336,0.0846,0.0016,0.1,0.029331,0.3209,1,1,0
S3_00178,High_E_LT,0.6677,0.2483,0.0455,0.0358,0.0611,0.0,-0.029795,0.4271,0,0,1
S3_00179,High_E_LT,0.7188,0.6701,0.6924,0.036,0.0428,0.1,0.020277,0.4375,1,1,0
S3_00180,High_E_LT,0.6777,0.3919,0.209,0.0284,0.0405,0.0,-0.022052,0.2368,0,1,0
S3_00181,Control_LT,0.4647,0.4551,0.3711,0.0933,0.0104,0.1,0.018245,0.2942,0,0,0
S3_00182,Control_LT,0.6704,0.1318,0.0172,0.0598,0.007,0.0,-0.018327,0.3392,0,0,0
S3_00183,Control_LT,0.6338,0.178,0.0494,0.1106,0.0106,0.1,0.02748,0.4527,0,0,0
S3_00184,High_E_LT,0.8104,0.6995,0.6143,0.0419,0.0455,0.1,0.015281,0.3997,1,1,0
S3_00185,Control_LT,0.602,0.5112,0.6091,0.0591,0.0004,0.1,0.003766,0.1579,1,1,0
S3_00186,High_E_LT,0.8275,0.3212,0.0959,0.0354,0.0371,0.0,-0.035591,0.4479,0,0,0
S3_00187,High_E_LT,0.6912,0.448,0.5555,0.0611,0.0359,0.0967,0.00117,0.318,1,0,0
S3_00188,High_E_LT,0.8187,0.7809,0.764,0.0255,0.0383,0.1,0.032838,0.3685,1,1,0
S3_00189,High_E_LT,0.8247,0.5205,0.4233,0.0214,0.0393,0.0,-0.061463,0.398,1,1,0
S3_00190,High_E_LT,0.9675,0.6227,0.603,0.0495,0.0482,0.1,0.031049,0.4104,1,1,0
S3_00191,Control_LT,0.6318,0.1227,0.038,0.0538,0.0045,0.0,-0.004666,0.3788,0,0,0
S3_00192,Control_LT,0.8334,0.3576,0.3567,0.0997,0.0027,0.1,0.009139,0.3634,1,0,0
S3_00193,High_E_LT,0.8028,0.3428,0.197,0.0563,0.0531,0.06009,0.000135,0.456,1,0,0
S3_00194,Control_LT,0.6388,0.0933,0.01,0.0712,0.0086,0.0,-0.025053,0.2136,0,0,0
S3_00195,High_E_LT,0.635,0.2735,0.0212,0.044,0.0518,0.0,-0.018228,0.3492,1,0,0
S3_00196,High_E_LT,0.6228,0.5346,0.4807,0.0535,0.043,0.1,0.049264,0.4188,1,1,0
S3_00197,Control_LT,0.5134,0.014,0.01,0.0963,0.0,0.0,-0.017155,0.2977,0,0,0
S3_00198,High_E_LT,0.7503,0.7564,0.6971,0.03,0.0598,0.1,0.015554,0.3802,1,1,0
S3_00199,High_E_LT,0.7146,0.2339,0.0298,0.0479,0.0268,0.0,-0.007216,0.2922,0,1,0
S3_00200,Control_LT,0.4226,0.3901,0.3987,0.0867,0.0072,0.1,0.007488,0.3261,0,1,0
S3_00201,High_E_LT,0.7804,0.484,0.198,0.0329,0.0449,0.0,-0.001655,0.3333,1,0,0
S3_00202,High_E_LT,0.7604,0.7282,0.6957,0.0328,0.0243,0.1,0.011546,0.2795,1,1,0
S3_00203,High_E_LT,0.687,0.7634,0.7336,0.0303,0.0578,0.1,0.024923,0.4199,1,1,0
S3_00204,Control_LT,0.4513,0.0242,0.0508,0.0872,0.0,0.0,-0.010311,0.3806,0,0,0
S3_00205,Control_LT,0.5372,0.4444,0.3793,0.0819,0.0039,0.1,0.024683,0.3094,1,1,0
S3_00206,High_E_LT,0.7989,0.4837,0.3558,0.0511,0.0603,0.04458,-0.000301,0.3372,0,0,0
S3_00207,High_E_LT,0.7573,0.2652,0.0515,0.0411,0.0516,0.0,-0.025326,0.2245,1,1,0
S3_00208,Control_LT,0.3799,0.0679,0.036,0.0955,0.0027,0.1,0.002021,0.4296,0,0,1
S3_00209,High_E_LT,0.7081,0.2955,0.0611,0.0339,0.0389,0.0,-0.042599,0.3054,0,0,0
S3_00210,Control_LT,0.5207,0.4731,0.5105,0.0676,0.0009,0.1,0.028731,0.3739,1,1,0
S3_00211,High_E_LT,0.782,0.253,0.1668,0.0351,0.0553,0.0,-0.012907,0.3837,0,0,0
S3_00212,High_E_LT,0.7748,0.2568,0.0343,0.0409,0.0267,0.0,-0.007273,0.3937,0,0,0
S3_00213,Control_LT,0.3895,0.0497,0.0268,0.1066,0.0011,0.0,-0.028315,0.3704,0,0,1
S3_00214,High_E_LT,0.67,0.6876,0.6333,0.0414,0.0432,0.1,0.004482,0.3358,1,1,0
S3_00215,Control_LT,0.6912,0.0906,0.014,0.0895,0.0051,0.0,-0.010597,0.2675,0,0,0
S3_00216,Control_LT,0.6182,0.2903,0.326,0.0889,0.004,0.1,0.007195,0.371,0,1,0
S3_00217,High_E_LT,0.8024,0.2921,0.0628,0.0361,0.0373,0.0,-0.043002,0.3524,0,1,0
S3_00218,High_E_LT,0.6496,0.2935,0.1946,0.0314,0.0423,0.0,-0.046323,0.4216,0,0,0
S3_00219,High_E_LT,0.7427,0.6174,0.6189,0.0454,0.0405,0.1,0.016379,0.3542,1,1,0
S3_00220,High_E_LT,0.8903,0.2502,0.0844,0.06,0.0622,0.0,-0.0241,0.4183,0,0,0
S3_00221,Control_LT,0.6859,0.0373,0.01,0.134,0.0062,0.0,-0.018589,0.4215,0,0,0
S3_00222,Control_LT,0.4218,0.0261,0.0709,0.0999,0.0155,0.0,-0.019403,0.3475,0,0,1
S3_00223,Control_LT,0.5757,0.558,0.5661,0.0648,0.0056,0.1,0.012735,0.2628,1,1,0
S3_00224,High_E_LT,0.6754,0.5895,0.5764,0.0514,0.042,0.1,0.027693,0.3931,0,0,0
S3_00225,High_E_LT,0.8355,0.4111,0.1764,0.0309,0.0398,0.0,-0.023687,0.3346,0,1,0
S3_00226,High_E_LT,0.799,0.335,0.0584,0.0439,0.0555,0.0,-0.010979,0.3264,0,1,0
S3_00227,Control_LT,0.5089,0.0681,0.0279,0.0809,0.0071,0.0,-0.004582,0.3792,0,0,0
S3_00228,High_E_LT,0.7159,0.5338,0.5994,0.0426,0.0405,0.1,0.018458,0.529,1,1,0
S3_00229,High_E_LT,0.6817,0.5867,0.5287,0.0704,0.0261,0.1,0.024091,0.1961,1,1,0
S3_00230,Control_LT,0.4672,0.071,0.01,0.0731,0.0082,0.0,-0.020774,0.4558,0,0,0
S3_00231,High_E_LT,0.7209,0.3609,0.2022,0.0261,0.0462,0.0,-0.009349,0.2859,0,0,0
S3_00232,High_E_LT,0.6301,0.2657,0.0715,0.0352,0.0484,0.0,-0.028783,0.3615,0,0,0
S3_00233,High_E_LT,0.7366,0.7277,0.7174,0.0336,0.0292,0.1,0.0328,0.3411,1,1,0
S3_00234,High_E_LT,0.6169,0.6663,0.6782,0.041,0.0317,0.1,0.032457,0.2172,1,1,0
S3_00235,High_E_LT,0.7086,0.8546,0.8195,0.0196,0.0373,0.1,0.031666,0.1988,1,1,0
S3_00236,Control_LT,0.5371,0.4276,0.4126,0.0878,0.0084,0.1,0.010464,0.302,1,0,0
S3_00237,Control_LT,0.6313,0.0749,0.0113,0.0997,0.007,0.0,-0.018908,0.199,0,0,0
S3_00238,High_E_LT,0.6589,0.7504,0.7583,0.0248,0.041,0.1,0.02983,0.3096,1,1,0
S3_00239,Control_LT,0.5666,0.4185,0.3597,0.0888,0.0033,0.1,0.007776,0.3679,0,0,0
S3_00240,High_E_LT,0.6527,0.4027,0.18,0.0358,0.0247,0.0,-0.001093,0.3175,0,0,0
S3_00241,High_E_LT,0.8412,0.593,0.5253,0.0462,0.0341,0.1,0.033377,0.4638,1,1,0
